IdLocalidade;Estado;Pais
424;Washington;United States
430;California;United States
431;Montana;United States
432;Mississippi;United States
433;Alabama;United States
434;South Carolina;United States
436;Washington;United States
438;Utah;United States
440;Massachusetts;United States
441;Missouri;United States
442;Washington;United States
443;California;United States
444;Ohio;United States
445;California;United States
448;Georgia;United States
450;Kentucky;United States
451;Illinois;United States
452;Texas;United States
453;Texas;United States
455;California;United States
457;Virginia;United States
458;North Carolina;United States
460;Washington;United States
461;Wyoming;United States
462;Ohio;United States
463;California;United States
464;Georgia;United States
465;New York;United States
466;Florida;United States
469;California;United States
470;California;United States
472;California;United States
475;California;United States
479;Washington;United States
488;California;United States
494;California;United States
495;Washington;United States
500;Oregon;United States
502;California;United States
505;California;United States
507;Washington;United States
508;Washington;United States
516;California;United States
520;California;United States
522;Washington;United States
523;Oregon;United States
527;California;United States
535;Washington;United States
536;Oregon;United States
537;Washington;United States
538;California;United States
546;California;United States
547;California;United States
551;Washington;United States
552;California;United States
559;Washington;United States
560;California;United States
566;Washington;United States
570;California;United States
573;Oregon;United States
575;Washington;United States
577;Washington;United States
578;California;United States
579;Texas;United States
580;Oregon;United States
581;California;United States
582;California;United States
583;Washington;United States
584;California;United States
593;Florida;United States
594;Minnesota;United States
597;Washington;United States
600;California;United States
601;California;United States
602;California;United States
603;Wyoming;United States
604;Utah;United States
605;New York;United States
606;Arizona;United States
607;New York;United States
609;Illinois;United States
610;California;United States
611;California;United States
612;Oregon;United States
614;Texas;United States
617;Georgia;United States
618;Ohio;United States
619;California;United States
620;Oregon;United States
625;California;United States
627;Washington;United States
631;California;United States
633;California;United States
642;Washington;United States
643;California;United States
644;Oregon;United States
645;California;United States
652;California;United States
653;California;United States
658;California;United States
660;Oregon;United States
667;California;United States
670;California;United States
677;Washington;United States
678;Washington;United States
686;Oregon;United States
688;California;United States
689;California;United States
690;California;United States
691;California;United States
693;Washington;United States
694;Washington;United States
703;Oregon;United States
707;California;United States
782;New York;United States
783;Virginia;United States
784;Alaska;United States
785;Maryland;United States
786;Wisconsin;United States
787;Texas;United States
788;New Jersey;United States
789;Massachusetts;United States
790;Colorado;United States
791;Texas;United States
792;Maryland;United States
793;Texas;United States
794;Maryland;United States
795;Maine;United States
796;Maine;United States
797;New Jersey;United States
798;Texas;United States
799;Colorado;United States
800;Maryland;United States
801;Connecticut;United States
802;Massachusetts;United States
803;Colorado;United States
804;New York;United States
805;New York;United States
806;Wisconsin;United States
807;Florida;United States
808;New Jersey;United States
809;Colorado;United States
810;South Carolina;United States
811;Virginia;United States
812;Washington;United States
813;Washington;United States
814;New Jersey;United States
815;Texas;United States
816;Connecticut;United States
817;Texas;United States
818;Colorado;United States
819;Texas;United States
820;New Jersey;United States
821;Wisconsin;United States
822;Wisconsin;United States
823;New York;United States
824;Colorado;United States
825;Washington;United States
826;Massachusetts;United States
827;Wisconsin;United States
828;Wisconsin;United States
829;Colorado;United States
830;Florida;United States
831;Texas;United States
832;Massachusetts;United States
833;Virginia;United States
834;Texas;United States
835;Maryland;United States
836;Colorado;United States
837;Texas;United States
838;Washington;United States
839;Colorado;United States
840;Wisconsin;United States
841;South Carolina;United States
842;New Jersey;United States
843;Connecticut;United States
844;Massachusetts;United States
845;Texas;United States
846;Massachusetts;United States
847;New Jersey;United States
848;Massachusetts;United States
849;Texas;United States
850;Maryland;United States
851;Texas;United States
852;New York;United States
853;Florida;United States
854;New Jersey;United States
855;Maine;United States
856;Washington;United States
857;Florida;United States
858;Texas;United States
859;Colorado;United States
860;Florida;United States
861;Massachusetts;United States
862;Maine;United States
863;Texas;United States
864;Connecticut;United States
865;Colorado;United States
866;Texas;United States
867;Colorado;United States
868;Massachusetts;United States
869;Massachusetts;United States
870;Wisconsin;United States
871;Wisconsin;United States
872;Texas;United States
873;Virginia;United States
874;Wisconsin;United States
875;Florida;United States
876;Texas;United States
877;Colorado;United States
878;Wisconsin;United States
879;Texas;United States
880;New Jersey;United States
882;New Jersey;United States
883;Massachusetts;United States
884;Florida;United States
885;Massachusetts;United States
886;New Jersey;United States
887;Colorado;United States
888;Connecticut;United States
889;Connecticut;United States
890;New York;United States
891;New Jersey;United States
892;Virginia;United States
893;Washington;United States
894;Maryland;United States
895;Massachusetts;United States
896;Connecticut;United States
897;Texas;United States
898;Wisconsin;United States
899;Florida;United States
900;Maine;United States
901;Wisconsin;United States
902;New York;United States
904;Colorado;United States
905;Maryland;United States
906;Texas;United States
907;New Jersey;United States
908;New Jersey;United States
909;Massachusetts;United States
910;Texas;United States
911;New York;United States
912;New York;United States
913;Wisconsin;United States
914;Massachusetts;United States
915;Maryland;United States
916;New York;United States
917;Massachusetts;United States
918;Wisconsin;United States
919;Texas;United States
920;Maryland;United States
921;Virginia;United States
922;New York;United States
923;Texas;United States
924;Texas;United States
925;Texas;United States
926;Florida;United States
927;Colorado;United States
928;Wisconsin;United States
929;Texas;United States
930;Washington;United States
931;Massachusetts;United States
932;Maine;United States
933;Texas;United States
934;Wisconsin;United States
935;Washington;United States
936;New York;United States
937;Florida;United States
938;Florida;United States
939;Texas;United States
940;Colorado;United States
941;Washington;United States
943;New Jersey;United States
944;Washington;United States
945;New Jersey;United States
946;Virginia;United States
947;Washington;United States
948;Connecticut;United States
949;Wisconsin;United States
950;Colorado;United States
951;Virginia;United States
952;Massachusetts;United States
302;;United States
366;Alaska;United States
369;Colorado;United States
370;Connecticut;United States
371;Florida;United States
372;Maine;United States
373;Maryland;United States
374;Massachusetts;United States
375;New Jersey;United States
376;New York;United States
379;South Carolina;United States
380;Texas;United States
381;Virginia;United States
382;Washington;United States
383;Wisconsin;United States
386;Mississippi;United States
390;Ohio;United States
392;Alabama;United States
394;Arizona;United States
396;North Carolina;United States
397;Minnesota;United States
401;Wyoming;United States
406;Kentucky;United States
408;Illinois;United States
409;Utah;United States
411;Oregon;United States
415;Montana;United States
417;California;United States
421;Missouri;United States
422;Georgia;United States
435;Seine Saint Denis;France
454;Val d'Oise;France
459;Yveline;France
476;Seine Saint Denis;France
503;Essonne;France
504;Seine et Marne;France
524;Val de Marne;France
528;Seine Saint Denis;France
529;Seine (Paris);France
530;Hauts de Seine;France
539;Nord;France
540;Nord;France
543;Yveline;France
544;Somme;France
545;Seine Saint Denis;France
548;Hauts de Seine;France
557;Hauts de Seine;France
563;Essonne;France
564;Yveline;France
591;Hauts de Seine;France
592;Pas de Calais;France
615;Hauts de Seine;France
616;Garonne (Haute);France
621;Hauts de Seine;France
622;Nord;France
624;Nord;France
650;Nord;France
657;Moselle;France
661;Essonne;France
672;Loiret;France
681;Seine et Marne;France
684;Charente-Maritime;France
685;Loir et Cher;France
700;Seine Saint Denis;France
702;Nord;France
759;Rhone-Alpes;France
762;Provence-Alpes-Cote d'Azur;France
766;Pays de la Loire;France
767;Alpes-Maritimes;France
775;Bas-Rhin;France
777;Midi-Pyrenees;France
285;;France
330;Alpes-Maritimes;France
331;Bas-Rhin;France
340;Ile-del-France;France
346;Midi-Pyrenees;France
353;Pays de la Loire;France
354;Provence-Alpes-Cote d'Azur;France
358;Rhone-Alpes;France
387;Essonne;France
389;Hauts de Seine;France
391;Seine Saint Denis;France
393;Garonne (Haute);France
395;Pas de Calais;France
398;Yveline;France
399;Loiret;France
400;Nord;France
402;Seine (Paris);France
403;Val de Marne;France
405;Val d'Oise;France
410;Seine et Marne;France
413;Somme;France
414;Loir et Cher;France
416;Charente-Maritime;France
418;Moselle;France
423;England;United Kingdom
426;England;United Kingdom
437;North Rhine-Westphalia;Germany
439;England;United Kingdom
447;England;United Kingdom
449;England;United Kingdom
474;Hesse;Germany
480;Saxony;Germany
481;England;United Kingdom
482;North Rhine-Westphalia;Germany
483;Hesse;Germany
485;England;United Kingdom
486;England;United Kingdom
491;Lower Saxony;Germany
496;Schleswig-Holstein;Germany
497;England;United Kingdom
498;England;United Kingdom
501;England;United Kingdom
506;England;United Kingdom
513;Hesse;Germany
515;North Rhine-Westphalia;Germany
517;North Rhine-Westphalia;Germany
521;Hesse;Germany
525;England;United Kingdom
532;England;United Kingdom
533;Bavaria;Germany
541;England;United Kingdom
542;Saar;Germany
555;Baden-Wuerttemberg;Germany
556;Saar;Germany
565;England;United Kingdom
567;England;United Kingdom
569;North Rhine-Westphalia;Germany
572;England;United Kingdom
574;England;United Kingdom
576;England;United Kingdom
585;England;United Kingdom
586;Berlin;Germany
587;England;United Kingdom
588;England;United Kingdom
590;North Rhine-Westphalia;Germany
595;Lower Saxony;Germany
608;England;United Kingdom
623;Saxony;Germany
626;Bavaria;Germany
629;Bavaria;Germany
635;North Rhine-Westphalia;Germany
638;England;United Kingdom
639;Bavaria;Germany
640;Bavaria;Germany
641;Hesse;Germany
649;Saxony;Germany
651;England;United Kingdom
654;England;United Kingdom
659;England;United Kingdom
662;Hamburg;Germany
664;North Rhine-Westphalia;Germany
666;England;United Kingdom
673;England;United Kingdom
674;North Rhine-Westphalia;Germany
676;England;United Kingdom
683;Saar;Germany
687;Lower Saxony;Germany
696;North Rhine-Westphalia;Germany
698;England;United Kingdom
704;England;United Kingdom
705;England;United Kingdom
736;Noord-Holland;the Netherlands
737;Central Greece and Evvoia;Greece
738;England;United Kingdom
739;Rhineland-Palatinate;Germany
740;Bern;Switzerland
741;Bucuresti;Romania
742;England;United Kingdom
743;England;United Kingdom
745;Staden Kobenhavn;Denmark
746;Leinster;Ireland
747;North Rhine-Westphalia;Germany
748;Scotland;United Kingdom
749;Province of Florence;Italy
750;Bavaria;Germany
751;Scotland;United Kingdom
752;Hesse;Germany
753;England;United Kingdom
754;North Rhine-Westphalia;Germany
755;England;United Kingdom
756;Rhineland-Palatinate;Germany
757;Lisboa Region;Portugal
758;Ljubljana;Slovenia
760;Madrid;Spain
761;England;United Kingdom
763;Lombardia;Italy
764;Moskovskaya oblast;Russia
765;Bavaria;Germany
768;Nizhny Novgorod Oblast;Russia
769;Bavaria;Germany
770;Rhineland-Palatinate;Germany
771;Roma;Italy
772;Northwestern;Russia
773;Stockholms;Sweden
774;England;United Kingdom
776;Province of Turin;Italy
778;Valletta;Malta
779;Venice;Italy
780;Warszawa;Poland
781;England;United Kingdom
425;Victoria;Australia
446;British Columbia;Canada
456;Ontario;Canada
467;British Columbia;Canada
468;New South Wales;Australia
471;Victoria;Australia
473;New South Wales;Australia
478;Queensland;Australia
487;Queensland;Australia
490;British Columbia;Canada
492;Queensland;Australia
493;Tasmania;Australia
499;British Columbia;Canada
509;New South Wales;Australia
510;Victoria;Australia
511;British Columbia;Canada
512;New South Wales;Australia
518;New South Wales;Australia
519;New South Wales;Australia
531;South Australia;Australia
534;New South Wales;Australia
549;New South Wales;Australia
550;British Columbia;Canada
553;New South Wales;Australia
554;New South Wales;Australia
558;New South Wales;Australia
561;Queensland;Australia
562;British Columbia;Canada
568;Victoria;Australia
571;British Columbia;Canada
596;Queensland;Australia
598;Alberta;Canada
599;Queensland;Australia
613;South Australia;Australia
628;South Australia;Australia
632;Victoria;Australia
634;New South Wales;Australia
637;Queensland;Australia
646;New South Wales;Australia
647;British Columbia;Canada
648;New South Wales;Australia
655;New South Wales;Australia
656;Victoria;Australia
665;British Columbia;Canada
668;British Columbia;Canada
669;New South Wales;Australia
671;British Columbia;Canada
675;British Columbia;Canada
679;New South Wales;Australia
680;Queensland;Australia
682;British Columbia;Canada
692;Victoria;Australia
695;British Columbia;Canada
697;Victoria;Australia
699;Victoria;Australia
701;British Columbia;Canada
706;New South Wales;Australia
708;Ahal Province;Turkmenistan
709;Krung Thep;Thailand
710;Beijing;China
711;Chuy Province;Kyrgyzstan
712;Yeongnam;South Korea
713;Molonglo;Australia
714;Damascus;Syria
715;GuangDong;China
716;Hong Kong;China
717;Islamabad Capital Territory;Pakistan
718;West Bengal;India
719;Kansai;Japan
720;Tohoku;Japan
721;Maharashtra;India
722;Chubu;Japan
723;National Capital Territory of Delhi;India
724;Kansai;Japan
725;Hokkaido;Japan
726;Seoul-jikhalsi;South Korea
727;Shanghai;China
728;Singapore;Singapore
729;Taiwan;Taiwan
730;Tehran;Iran
731;Thimphu District;Bhutan
732;Kanto;Japan
733;Xinjiang;China
734;Armenia;Armenia
735;Kanto;Japan
881;Quebec;Canada
903;Ontario;Canada
942;Ontario;Canada
1;;
2;;
3;;
269;;Armenia
270;;Australia
271;;Bhutan
272;;China
273;;India
274;;Iran
275;;Japan
276;;Kyrgyzstan
277;;Pakistan
278;;Singapore
279;;South Korea
280;;Syria
281;;Taiwan
282;;Thailand
283;;Turkmenistan
284;;Denmark
286;;Germany
287;;Greece
288;;the Netherlands
289;;Ireland
290;;Italy
291;;Malta
292;;Poland
293;;Portugal
294;;Romania
295;;Russia
296;;Slovenia
297;;Spain
298;;Sweden
299;;Switzerland
300;;United Kingdom
301;;Canada
303;Ahal Province;Turkmenistan
304;Armenia;Armenia
305;Beijing;China
306;Chubu;Japan
307;Chuy Province;Kyrgyzstan
308;Damascus;Syria
309;GuangDong;China
310;Hokkaido;Japan
311;Hong Kong;China
312;Islamabad Capital Territory;Pakistan
313;Kansai;Japan
314;Kanto;Japan
315;Krung Thep;Thailand
316;Maharashtra;India
317;Molonglo;Australia
318;National Capital Territory of Delhi;India
319;New South Wales;Australia
320;Seoul-jikhalsi;South Korea
321;Shanghai;China
322;Singapore;Singapore
323;Taiwan;Taiwan
324;Tehran;Iran
325;Thimphu District;Bhutan
326;Tohoku;Japan
327;West Bengal;India
328;Xinjiang;China
329;Yeongnam;South Korea
332;Bavaria;Germany
333;Bayern;Germany
334;Berlin;Germany
335;Bern;Switzerland
336;Bucuresti;Romania
337;Central Greece and Evvoia;Greece
338;England;United Kingdom
339;Hesse;Germany
341;Leinster;Ireland
342;Lisboa Region;Portugal
343;Ljubljana;Slovenia
344;Lombardia;Italy
345;Madrid;Spain
347;Moskovskaya oblast;Russia
348;Nizhny Novgorod Oblast;Russia
349;Noord-Holland;the Netherlands
350;Nordrhein-Westfalen;Germany
351;North Rhine-Westphalia;Germany
352;Northwestern;Russia
355;Province of Florence;Italy
356;Province of Turin;Italy
357;Rhineland-Palatinate;Germany
359;Roma;Italy
360;Scotland;United Kingdom
361;Staden Kobenhavn;Denmark
362;Stockholms;Sweden
363;Valletta;Malta
364;Venice;Italy
365;Warszawa;Poland
367;Alberta;Canada
368;British Columbia;Canada
377;Ontario;Canada
378;Quebec;Canada
384;Tasmania;Australia
385;Hessen;Germany
388;Hamburg;Germany
404;Brandenburg;Germany
407;Queensland;Australia
412;South Australia;Australia
419;Saarland;Germany
420;Victoria;Australia
